Ahu_name,Lab_code,CRA,Error,c13,Sample_type,Material_dated,Delta_R,Calculated marine component,Provenience,Dated event ~ target event,Included in ahu model?,Mulrooney 2013 class,Notes,Geographic area,Reference
Akivi,M-1370,425,100,Not reported,Terrestrial,Unidentified charcoal,NA,NA,Sample from below south wing,"pre-dates wing, post-dates platform",yes,3a,"""recovered from the surface on which the first construction phase south wing mantle was built and should be contemporaneous with its construction"" (Mulloy and Figueroa 1978:119)",West coast,Crane and Griffith 1965:146; Mulloy and Figueroa 1978:118-121; Martinsson-Wallin and Crockford 2002
Akivi,M-1371,350,100,Not reported,Mixed,bone - human and wood charcoal,,NA,"Sample from crematorium 1, bottom of bone deposit in cyst g","post-dates platform construction, dates crematorium construciton",no: bulk sample,3b,crematorium deposit is mixed,West coast,"Crane and Griffith 1965:146; Mulloy and Figueroa 1978:118-121, 178, Fig20; Martinsson-Wallin and Crockford 2002"
Akivi,M-1374,580,100,Not reported,Mixed,bone - human and wood charcoal,,NA,"Sample from crematorium 1, at top of bone deposit between cyst f and central platform wall","post-dates platform construction, dates crematorium construciton",no: bulk sample,3b,crematorium deposit is mixed,West coast,"Crane and Griffith 1965:146; Mulloy and Figueroa 1978:118-121, 178, Fig20; Martinsson-Wallin and Crockford 2002"
Akivi,I-456,460,75,Not reported,Terrestrial,Unidentified charcoal,NA,NA,Sample from filled aroyo under south wing,pre-dates platform construction,yes,3a,"""recovered from the bottom of the natural arroyo under the south wing should date the refilling required to level the surface before the south wing, and by extension the rest of the structure, could be built"" (Mulloy and Figueroa 1978:119)",West coast,Mulloy and Figueroa 1978:118-121; Martinsson-Wallin and Crockford 2002
Akivi,TBN-348-1,2216,96,Not reported,Terrestrial,Unidentified charcoal,NA,NA,ramp pavement,unclear,no: rejected by authors,3c,"noted as 'questionable date' by Martinsson-Wallin and Crockford 2002, Rejected by Mulloy and Figueroa 1978",West coast,Martinsson-Wallin and Crockford 2002
,,,,,,,,,,,,,,,
Ature Huki,T-7979,510,80,-26.1,Terrestrial,Unidentified charcoal,NA,NA,"Sample from trench behind platform wall, sample from charcoal lens stratigraphically pre-dating platform wall",pre-dates platform construction,yes,2a,Martinsson-Wallin and Crockford 2002 present very different provenience information from the primary source,Northeast coast," Skjølsvold 1994: 86-87, 106, fig. 11, 77"
Ature Huki,Ua-1144,580,85,-25,Terrestrial,Unidentified charcoal,NA,NA,"Sample from trench within ramp/plaza, sample from underneath pavement within ramp fill","dates ramp, pre-dates plaza, post-dates platform",yes,2b,Martinsson-Wallin and Crockford 2002 present very different provenience information from the primary source,Northeast coast," Skjølsvold 1994: 85-87, 106, fig. 11, 76"
,,,,,,,,,,,,,,,
Heki'I 1,Ua-11700,705,45,-22.2,Terrestrial,Carbonized nutshell,NA,NA,"Trench 1, under plaza/ramp pavement directly in front of central platform, sample taken from ""a small partly stone-lined fireplace""", Dates before ramp/plaza construction. Likely pre-dates platform construction.,yes,1a,Two OHD from same level were 1200 +/- 84 and 1321 +/- 75,Northeast coast,Martinsson-Wallin 1998:172; Martinsson-Wallin and Crockford 2002; Wallin and Martinsson-Wallin 2008
