UniqID,SiteName,Laboratory ID,Age,SD,DeltaR,DeltaRErr,pterrestrial,pmarine,Material ,CalCurve
1,Ahu Nau Nau plaza ,AA-27343 ,371,50,-83,34,0,1,Algal nodule ,marine13
2,Ahu Nau Nau plaza ,AA-27344 ,423,60,-83,34,0,1,Algal nodule ,marine13
3,Ahu Nau Nau plaza ,AA-27346 ,430,40,-83,34,0,1,Algal nodule ,marine13
4,Ahu Nau Nau plaza ,AA-27345 ,555,45,-83,34,0,1,Algal nodule ,marine13
5,Ahu Akahanga,UCIAMS-105150,225,15,-83,34,0.645,0.355,Colagen human tooth,shcal13
6,Ahu Akahanga,UCIAMS-105153,235,15,-83,34,0.689,0.311,Colagen human tooth,shcal13
7,Ahu Akahanga,UCIAMS-105159,295,15,-83,34,0.638,0.362,Colagen human tooth,shcal13
8,Ahu Kihi Kihi Rau Mea,UCIAMS-105151,175,15,-83,34,0.688,0.312,Colagen human tooth,shcal13
9,Ahu Kihi Kihi Rau Mea,UCIAMS-105154,155,15,-83,34,0.627,0.373,Colagen human tooth,shcal13
10,Ahu Kihi Kihi Rau Mea,UCIAMS-105149,150,15,-83,34,0.625,0.375,Colagen human tooth,shcal13
11,Ahu Kihi Kihi Rau Mea,UCIAMS-105162,195,15,-83,34,0.709,0.291,Colagen human tooth,shcal13
12,Ahu Mahatua,UCIAMS-105148,185,15,-83,34,0.5,0.5,Colagen human tooth,shcal13
13,Ahu Nau Nau,UCIAMS-105152,160,25,-83,34,0.691,0.309,Colagen human tooth,shcal13
14,Ahu Nau Nau,UCIAMS-105158,605,15,-83,34,0.695,0.305,Colagen human tooth,shcal13
15,Ahu Nau Nau,UCIAMS-105163,400,15,-83,34,0.761,0.239,Colagen human tooth,shcal13
16,Ahu Nau Nau,UCIAMS-105281,390,45,-83,34,0.677,0.323,Colagen human tooth,shcal13
17,Ahu One Makihi,UCIAMS-105155,235,15,-83,34,0.546,0.454,Colagen human tooth,shcal13
18,Ahu Tongariki,UCIAMS-105156,295,15,-83,34,0.601,0.399,Colagen human tooth,shcal13
19,Ahu Tongariki,UCIAMS-105144,440,15,-83,34,0.44,0.56,Colagen human tooth,shcal13
20,Ahu Tongariki,UCIAMS-105145,550,15,-83,34,0.66,0.34,Colagen human tooth,shcal13
21,Ahu Tongariki,UCIAMS-105146,270,20,-83,34,0.561,0.439,Colagen human tooth,shcal13
22,Ahu Tongariki,UCIAMS-105147,345,20,-83,34,0.554,0.446,Colagen human tooth,shcal13
23,Ahu Tongariki,UCIAMS-105160,195,15,-83,34,0.574,0.426,Colagen human tooth,shcal13
24,Ahu Tongariki,UCIAMS-105161,645,15,-83,34,0.726,0.274,Colagen human tooth,shcal13
25,Ahu Tongariki,UCIAMS-105277,370,25,-83,34,0.465,0.535,Colagen human tooth,shcal13
26,Ahu Tongariki,UCIAMS-105278,125,30,-83,34,0.631,0.369,Colagen human tooth,shcal13
27,Ahu Tongariki,UCIAMS-105279,175,30,-83,34,0.65,0.35,Colagen human tooth,shcal13
28,Ahu Tongariki,UCIAMS-105280,310,15,-83,34,0.504,0.496,Colagen human tooth,shcal13
29,Ahu Tongariki,UCIAMS-105282,465,15,-83,34,0.632,0.368,Colagen human tooth,shcal13
30,Ana Oroi,UCIAMS-105157,185,15,-83,34,0.657,0.343,Colagen human tooth,shcal13
31,Ahu Ature Huki ,T-7979 ,510,80,0,0,1,0,Wood charcoal ,shcal13
32,Ahu Ature Huki ,Ua-1144 ,580,85,0,0,1,0,Wood charcoal ,shcal13
33,Ahu Heki´i ,Ua-11700 ,705,45,0,0,1,0,Carbonized nutshell ,shcal13
34,Ahu Heki´i ,Ua-11702 ,465,45,0,0,1,0,Carbonized nutshell ,shcal13
35,Ahu Heki´i ,Ua-11701 ,700,45,0,0,1,0,Carbonized nutshell ,shcal13
36,Ahu Heki´i ,Ua-11703 ,555,50,0,0,1,0,Carbonized nutshell ,shcal13
37,Ahu Ihu Arero ,Gak-4616 ,480,90,0,0,1,0,Wood charcoal ,shcal13
38,Ahu Ihu Arero ,Gak-4617 ,480,90,0,0,1,0,Wood charcoal ,shcal13
39,Ahu Motu Toremo Hiva ,KIA-29813 ,610,25,0,0,1,0,Wood charcoal ,shcal13
40,Ahu Motu Toremo Hiva ,KIA-29812 ,630,25,0,0,1,0,Wood charcoal ,shcal13
41,Ahu Motu Toremo Hiva ,KIA-26453 ,675,25,0,0,1,0,Wood charcoal ,shcal13
42,Ahu Motu Toremo Hiva ,KIA-26464 ,700,25,0,0,1,0,Wood charcoal ,shcal13
43,Ahu Motu Toremo Hiva ,KIA-26461 ,630,25,0,0,1,0,Wood charcoal ,shcal13
44,Ahu Motu Toremo Hiva ,KIA-26452 ,675,20,0,0,1,0,Wood charcoal ,shcal13
45,Ahu Motu Toremo Hiva ,KIA-26487 ,240,20,0,0,1,0,Wood charcoal ,shcal13
46,Ahu Motu Toremo Hiva ,KIA-29814 ,325,25,0,0,1,0,Wood charcoal ,shcal13
47,Ahu Motu Toremo Hiva ,KIA-26483 ,150,20,0,0,1,0,Wood charcoal ,shcal13
48,Ahu Nau Nau I ,Ua-34183 ,535,35,0,0,1,0,Carbonized nutshell ,shcal13
49,Ahu Nau Nau I ,T-7342 ,710,70,0,0,1,0,Wood charcoal ,shcal13
50,Ahu Nau Nau II ,T-7347 ,720,120,0,0,1,0,Wood charcoal ,shcal13
51,Ahu Nau Nau III ,Ua-617 ,610,85,0,0,1,0,Wood charcoal ,shcal13
52,Ahu Nau Nau IV? ,T-7348 ,200,80,0,0,1,0,Wood charcoal ,shcal13
53,Ahu No. 31-286 ,Ua-11704 ,795,50,0,0,1,0,Wood charcoal ,shcal13
54,Ahu o Rongo ,GrA-18378 ,655,30,0,0,1,0,Wood charcoal ,shcal13
55,Ahu o Rongo I ,GrA-18380 ,655,30,0,0,1,0,Wood charcoal ,shcal13
56,Ahu o Rongo I ,GrN-26318 ,715,35,0,0,1,0,Wood charcoal ,shcal13
57,Ahu o Tuki ,Beta-155733 ,595,65,0,0,1,0,Carbonized nutshell ,shcal13
58,Ahu o Tuki ,Beta-155732 ,610,60,0,0,1,0,Carbonized nutshell ,shcal13
59,Ahu o Tuki ,GrA-25870 ,640,35,0,0,1,0,Carbonized nutshell ,shcal13
60,Ahu Ra´ai ,Ua-13163 ,135,60,0,0,1,0,Wood charcoal ,shcal13
61,Ahu Ra´ai ,Ua-13164 ,515,60,0,0,1,0,Wood charcoal ,shcal13
62,Ahu Ra´ai ,Ua-13165 ,570,50,0,0,1,0,Wood charcoal ,shcal13
63,Ahu Ra´ai ,Ua-13166 ,635,50,0,0,1,0,Wood charcoal ,shcal13
64,Ahu Ra´ai ,Ua-13167 ,645,50,0,0,1,0,Wood charcoal ,shcal13
65,Ahu Tahai ,Gak-4507 ,200,70,0,0,1,0,Wood charcoal ,shcal13
66,Ahu Tautira,Ua-13161 ,220,50,0,0,1,0,Wood charcoal ,shcal13
67,Ahu Tautira,Ua-13284 ,475,60,0,0,1,0,Wood charcoal ,shcal13
68,Ahu Tautira,Ua-13162 ,720,50,0,0,1,0,Wood charcoal ,shcal13
69,Ahu Vai Teka ,M-1372 ,330,100,0,0,1,0,Wood charcoal ,shcal13
70,Ahu Vai Teka ,I-455 ,340,75,0,0,1,0,Wood charcoal ,shcal13
71,Ahu Vai Teka ,TBN-348-2 ,399,76,0,0,1,0,Wood charcoal ,shcal13
72,Ahu Vinapu 1 ,K-523 ,440,100,0,0,1,0,Wood charcoal ,shcal13
73,Ahu Vinapu 2 ,Ua-19464 ,605,45,0,0,1,0,Carbonized nutshell ,shcal13
74,Ahu Vinapu 2 ,Ua-19463 ,610,40,0,0,1,0,Carbonized nutshell ,shcal13
75,Ahu Vinapu 2 ,M-710 ,1100,200,0,0,1,0,Wood charcoal ,shcal13
76,Akahanga settlement ,Beta-099353 ,200,50,0,0,1,0,Wood charcoal ,shcal13
77,Akahanga settlement ,Beta-099334 ,320,60,0,0,1,0,Wood charcoal ,shcal13
78,Akahanga settlement ,Beta-099343 ,220,70,0,0,1,0,Wood charcoal ,shcal13
79,Akahanga settlement ,Beta-099333 ,340,60,0,0,1,0,Wood charcoal ,shcal13
80,Akahanga settlement ,Beta-099330 ,220,70,0,0,1,0,Wood charcoal ,shcal13
81,Akahanga settlement ,Beta-099354 ,390,110,0,0,1,0,Wood charcoal ,shcal13
82,Ana Kai Tangata ,Beta-38785 ,290,80,0,0,1,0,Wood charcoal ,shcal13
83,Anakena 35-8,UGa-630 ,395,75,0,0,1,0,Wood charcoal ,shcal13
84,Anakena cultural layer ,Ua-34189 ,565,35,0,0,1,0,Carbonized nutshell ,shcal13
85,Anakena cultural layer ,Beta-47172 ,170,110,0,0,1,0,Wood charcoal ,shcal13
86,Anakena cultural layer ,T-7977 ,220,80,0,0,1,0,Wood charcoal ,shcal13
87,Anakena cultural layer ,T-7958 ,340,100,0,0,1,0,Wood charcoal ,shcal13
88,Anakena cultural layer ,T-6680 ,370,90,0,0,1,0,Wood charcoal ,shcal13
89,Anakena cultural layer ,T-7959 ,510,40,0,0,1,0,Wood charcoal ,shcal13
90,Anakena cultural layer ,T-7974 ,540,60,0,0,1,0,Wood charcoal ,shcal13
91,Anakena cultural layer ,T-7349 ,550,150,0,0,1,0,Wood charcoal ,shcal13
92,Anakena cultural layer ,T-7344 ,600,140,0,0,1,0,Wood charcoal ,shcal13
93,Anakena cultural layer ,Beta-47171 ,660,80,0,0,1,0,Wood charcoal ,shcal13
94,Anakena cultural layer ,T-7975 ,710,40,0,0,1,0,Wood charcoal ,shcal13
95,Anakena cultural layer ,T-7350 ,710,80,0,0,1,0,Wood charcoal ,shcal13
96,Anakena cultural layer ,T-7343 ,750,100,0,0,1,0,Wood charcoal ,shcal13
97,Anakena cultural layer ,T-7976 ,789,90,0,0,1,0,Wood charcoal ,shcal13
98,Anakena cultural layer ,T-7345 ,810,80,0,0,1,0,Wood charcoal ,shcal13
99,Anakena cultural layer ,T-7346 ,810,70,0,0,1,0,Wood charcoal ,shcal13
100,Anakena cultural layer ,Beta-47173 ,860,100,0,0,1,0,Wood charcoal ,shcal13
101,Anakena cultural layer ,T-7341 ,900,120,0,0,1,0,Wood charcoal ,shcal13
102,Anakena cultural layer ,Beta-47169 ,900,80,0,0,1,0,Wood charcoal ,shcal13
103,Anakena cultural layer ,Beta-47170 ,900,60,0,0,1,0,Wood charcoal ,shcal13
104,Anakena cultural layer ,T-6679 ,1170,140,0,0,1,0,Wood charcoal ,shcal13
105,Anakena Dune Site ,Beta-196714 ,590,60,0,0,1,0,Wood charcoal ,shcal13
106,Anakena Dune Site ,Beta-196711 ,660,40,0,0,1,0,Wood charcoal ,shcal13
107,Anakena Dune Site ,Beta-196713 ,670,60,0,0,1,0,Wood charcoal ,shcal13
108,Anakena Dune Site ,Beta-196712 ,680,60,0,0,1,0,Wood charcoal ,shcal13
109,Anakena Dune Site ,Beta-196715 ,710,40,0,0,1,0,Wood charcoal ,shcal13
110,Anakena Dune Site ,Beta-196716 ,720,60,0,0,1,0,Wood charcoal ,shcal13
111,Anakena Dune Site ,Beta-209903 ,870,80,0,0,1,0,Wood charcoal ,shcal13
112,Anakena Dune Site ,Beta-209904 ,870,40,0,0,1,0,Wood charcoal ,shcal13
113,Anakena E2,K-522 ,430,100,0,0,1,0,Wood charcoal ,shcal13
114,Anakena pre-Ahu Nau Nau I,Ua-34188 ,665,30,0,0,1,0,Wood charcoal unidentified,shcal13
115,Anakena pre-Ahu Nau Nau I,Ua-34186 ,555,35,0,0,1,0,Wood charcoal unidentified ,shcal13
116,Anakena settlement ,Ua-34190 ,665,35,0,0,1,0,Wood charcoal unidentified ,shcal13
117,Anakena settlement ,Ua-34191 ,565,35,0,0,1,0,Carbonized nutshell ,shcal13
118,CS2,Beta-144308 ,740,40,0,0,1,0,Wood charcoal ,shcal13
119,CS2,Beta-144309 ,250,40,0,0,1,0,Wood charcoal ,shcal13
120,CS4,Beta-144306 ,790,80,0,0,1,0,Wood charcoal ,shcal13
121,CS4,Beta-144307 ,840,40,0,0,1,0,Wood charcoal ,shcal13
122,East Poike ,KIA-18838 ,588,22,0,0,1,0,Wood charcoal ,shcal13
123,East Poike ,KIA-18837 ,631,22,0,0,1,0,Wood charcoal ,shcal13
124,East Poike ,KIA-20383 ,317,20,0,0,1,0,Carbonized nutshell ,shcal13
125,East Poike ,SRR-2430 ,820,40,0,0,1,0,Carbonized nutshell e rat-gnawed ,shcal13
126,Hanga te Pahu ,CNRS 1111b ,465,85,0,0,1,0,Carbonized nutshell ,shcal13
127,Hanga te Pahu ,CNRS 1111a ,640,90,0,0,1,0,Carbonized nutshell ,shcal13
128,Maunga Orito,Beta-178860 ,200,50,0,0,1,0,Wood charcoal ,shcal13
129,Maunga Orito,KIA-17117 ,148,18,0,0,1,0,Wood charcoal ,shcal13
130,Maunga Orito,KIA-17116 ,177,18,0,0,1,0,Wood charcoal ,shcal13
131,Maunga Orito,KIA-25975 ,347,21,0,0,1,0,Wood charcoal ,shcal13
132,Maunga Orito,Beta-196925 ,450,40,0,0,1,0,Wood charcoal ,shcal13
133,Maunga Orito,Beta-196926 ,460,40,0,0,1,0,Wood charcoal ,shcal13
134,Moai Tukuturi ,T-5006 ,180,40,0,0,1,0,Wood charcoal ,shcal13
135,Moai Tukuturi ,T-6258 ,230,60,0,0,1,0,Wood charcoal ,shcal13
136,Moai Tukuturi ,Beta-13130 ,540,90,0,0,1,0,Wood charcoal ,shcal13
137,Moai Tukuturi ,Ua-618 ,1040,90,0,0,1,0,Wood charcoal ,shcal13
138,Orongo ,T-193 ,540,70,0,0,1,0,Wood charcoal ,shcal13
139,Orongo ,Beta-099336 ,320,70,0,0,1,0,Wood charcoal ,shcal13
140,Orongo ,Beta-099342 ,240,60,0,0,1,0,Wood charcoal ,shcal13
141,Orongo ,Beta-099356 ,200,50,0,0,1,0,Wood charcoal ,shcal13
142,Orongo ,Beta-099347 ,210,50,0,0,1,0,Wood charcoal ,shcal13
143,Orongo ,Beta-099339 ,250,50,0,0,1,0,Wood charcoal ,shcal13
144,Orongo ,K-506 ,220,100,0,0,1,0,Wood charcoal ,shcal13
145,Orongo ,K-514 ,380,60,0,0,1,0,Wood charcoal ,shcal13
146,Orongo ,T-194 ,470,70,0,0,1,0,Wood charcoal ,shcal13
147,Orongo ,K-520 ,540,100,0,0,1,0,Wood charcoal ,shcal13
148,Poike Ditch ,Beta-208937 ,440,60,0,0,1,0,Wood charcoal e identified ,shcal13
149,Poike Ditch ,Beta-208938 ,190,40,0,0,1,0,Wood charcoal e unidentified ,shcal13
150,Poike Ditch ,Beta-47281 ,760,80,0,0,1,0,Wood charcoal e unidentified ,shcal13
151,"Rock Garden 16, Hiva Hiva Lava Flow",Beta-238061 ,300,40,0,0,1,0,Wood charcoal ,shcal13
152,"Rock Garden 20, Hiva Hiva Lava Flow",Beta-238062 ,570,40,0,0,1,0,Wood charcoal ,shcal13
153,"Rock Garden 22, Hiva Hiva Lava Flow",Beta-237464 ,560,40,0,0,1,0,Wood charcoal ,shcal13
154,"Rock Garden 25, Hiva Hiva Lava Flow",Beta-238063 ,210,40,0,0,1,0,Wood charcoal ,shcal13
155,Site 1-187 ,WSU-1146 ,1180,230,0,0,1,0,Wood charcoal e Identified ,shcal13
156,Site 10-241,Beta-47365 ,380,60,0,0,1,0,Wood charcoal ,shcal13
157,Site 10-241,Beta-47366 ,480,60,0,0,1,0,Wood charcoal ,shcal13
158,Site 10-241,Beta-47367 ,390,50,0,0,1,0,Wood charcoal ,shcal13
159,Site 14-1 ,UGa-631 ,395,60,0,0,1,0,Wood charcoal ,shcal13
160,Site 15-233,Beta-254389 ,160,40,0,0,1,0,Wood charcoal e identified ,shcal13
161,Site 15-233,Beta-254390 ,280,40,0,0,1,0,Wood charcoal e identified ,shcal13
162,Site 15-233,Beta-237461 ,150,40,0,0,1,0,Wood charcoal e unidentified ,shcal13
163,Site 15-233,Beta-237462 ,670,40,0,0,1,0,Wood charcoal e unidentified ,shcal13
164,Site 15-68,Beta-237460 ,440,40,0,0,1,0,Wood charcoal ,shcal13
165,Site 15-68,Beta-237459 ,840,40,0,0,1,0,Wood charcoal ,shcal13
166,Site 15-90,Beta-237457 ,460,40,0,0,1,0,Wood charcoal ,shcal13
167,Site 18-228 ,Beta-47282 ,400,60,0,0,1,0,Wood charcoal e ,shcal13
168,Site 18-419 ,Beta-47283 ,330,60,0,0,1,0,Wood charcoal e unidentified ,shcal13
