Lab_Number,General_Context,Associated_Feature_Type,Material,Quad,Distance_Band,Researcher,Age,Class,Reference,CRA,SD,
T-194,Orongo Complex B,Ceremonial,Wood charcoal,1,0-500,"Heyerdahl et al., 1956",470 ± 70,2b,Martinsson-Wallin and Crockford 2002:248,470,70,
K-506,Orongo Complex B,Ceremonial,Wood charcoal,1,0-500,"Heyerdahl et al., 1956",220 ± 100,2c,Martinsson-Wallin and Crockford 2002:248,220,100,
K-514,Orongo Complex B,Ceremonial,Wood charcoal,1,0-500,"Heyerdahl et al., 1956",380 ± 60,2c,Martinsson-Wallin and Crockford 2002:248,380,60,
K-520,Orongo Complex B,Ceremonial,Wood charcoal,1,0-500,"Heyerdahl et al., 1956",540 ± 100,2a,Martinsson-Wallin and Crockford 2002:248,540,100,
M-708,Orongo Complex B,Ceremonial,Wood charcoal,1,0-500,"Heyerdahl et al., 1956",100 ± 200,2c,Martinsson-Wallin and Crockford 2002:248,100,200,
T-193,Ahu at Orongo,Ceremonial,Wood charcoal,1,0-500,"Mulloy, 1960",540 ± 70,2b,Martinsson-Wallin and Crockford 2002:251,540,70,
WSU-1146,Site 1-187,Residential,Wood charcoal - identified,1,0-500,"McCoy, 1968",1180 ± 230,2b,McCoy 1973; Martinsson- Wallin and Crockford 2002:249,1180,230,
WSU-1147,Site 1-187,Residential,Wood charcoal,1,0-500,"McCoy, 1968",350 ± 220,3b,Martinsson-Wallin and Crockford 2002:249,350,220,
I-7516,Site 1-193,Residential,Wood charcoal,1,0-500,"Ayres, 1973",Modern,2b,Ayres 1975,Modern,,
Beta-099336,O97 Orongo,Residential,Wood charcoal,1,0-500,"Orliac, 1995",320 ± 70,2b,"Martinsson-Wallin and Crockford
2002:248, Orliac 1998",320,70,
Beta-099339,Orongo,Residential,Wood charcoal,1,0-500,"Orliac, 1995",250 ± 50,2b,Martinsson-Wallin and Crockford 2002:248,250,50,
Beta-099342,ORMNG Orongo,Residential,Wood charcoal,1,0-500,"Orliac, 1995",240 ± 60,2b,"Martinsson-Wallin and Crockford 2002:248, Orliac 1998",240,60,
Beta-099347,Orongo,Residential,Wood charcoal,1,0-500,"Orliac, 1995",210 ± 50,2b,Martinsson-Wallin and Crockford 2002:248,210,50,
Beta-099348,O97 Orongo,Residential,Wood charcoal,1,0-500,"Orliac, 1995",30 ± 80,2b,"Martinsson-Wallin and Crockford 2002:248, Orliac 1998",30,80,
Beta-099356,Orongo,Residential,Wood charcoal,1,0-500,"Orliac, 1995",200 ± 50,2b,Martinsson-Wallin and Crockford 2002:248,200,50,
K-523,Ahu Vinapu 1,Ceremonial,Wood charcoal,2,0-500,"Heyerdahl et al., 1956",440 ± 100,2c,Martinsson-Wallin and Crockford 2002:252,440,100,
M-709,Ahu Vinapu 1,Ceremonial,Wood charcoal,2,0-500,"Heyerdahl et al., 1957",120 ± 200,2b,Martinsson-Wallin and Crockford 2002:252,120,200,
M-710,Ahu Vinapu 2,Ceremonial,Wood charcoal,2,0-500,"Heyerdahl et al., 1957",1100 ± 200,2b,Martinsson-Wallin and Crockford 2002:252,1100,200,
M-711,Ahu Vinapu 1,Ceremonial,Bone - human,2,0-500,"Heyerdahl et al., 1958?",730 ± 200,3b,Martinsson-Wallin and Crockford 2002:252,730,200,
T-5175,Ahu Vinapu 2,Ceremonial,Wood charcoal and ash,2,0-500,"Martinsson-Wallin?, 1984",570 ± 120,3c,Martinsson-Wallin and Crockford 2002:252,570,120,
Ua-19463,Ahu Vinapu 2,Ceremonial,Carbonized nutshell,2,0-500,"Martinsson-Wallin, 2002",610 ± 40,1c,Martinsson-Wallin 2004:8,610,40,
Ua-19464 ,Ahu Vinapu 2,Ceremonial,Carbonized nutshell,2,0-500,"Martinsson-Wallin, 2002",605 ± 45,1c,Martinsson-Wallin 2004:8,605,45,
Beta-38785,Ana Kai Tangata,Residential,Wood charcoal,3,0-500,Cervellino 1990,290 ± 80,2c,Cervellino 1990,290,80,
"KIA-17116
","HK 7 IPC M. Orito 1
",Agricultural,Wood charcoal ,4,500-1000,"Stevenson et al., 2004","177 ± 18
",2b,"Bork et al., 2004:11; Stevenson et al., 2006:925",177,18,
KIA-17117,HK 6 IPC M. Orito 1,Agricultural,Wood charcoal ,4,500-1000,"Stevenson et al., 2004",148 ± 18,2b,"Bork et al., 2004:11; Stevenson et al., 2006:925",148,18,
KIA-17118,HK 8 IPC M. Orito 1,Agricultural,Wood charcoal,4,500-1000,"Stevenson et al., 2004",114 ± 21,2b,"Bork et al., 2004:11; Stevenson et al., 2006:925",114,21,
KIA-17120 ,M1 IPC M. Orito 1,Agricultural,Wood charcoal ,4,500-1000,"Stevenson et al., 2004",6607 ± 107,3c,"Stevenson et al., 2006:925",6607,107,
KIA-25975,Section D-Buried Aga-Horizon,Agricultural,Wood charcoal ,4,500-1000,"Stevenson et al., 2004",347 ± 21,2b,"Stevenson et al., 2006:925",347,21,
Beta-178860,Feature 101A,Agricultural,Wood charcoal,4,500-1000,"Stevenson et al., 2004",200 ± 50,2b,"Stevenson et al., 2006:925",200,50,
Beta-196925       ,Section D- Buried Aga-Horizon,Agricultural,Wood charcoal ,4,500-1000,"Stevenson et al., 2004",450 ± 40,2b,"Stevenson et al., 2006:925 ",450,40,
Beta-196926 ,Section D- Buried Aga-Horizon,Agricultural,Wood charcoal ,4,500-1000,"Stevenson et al., 2004",460 ± 40,2b,"Stevenson et al., 2006:925 ",460,40,
Gak-4503,Ahu Huri a Urenga,Ceremonial,Wood charcoal,5,1500-2000,"Mulloy, 1973",40 ± 70,3c,Martinsson-Wallin and Crockford 2002:250,40,70,
Gak-4506,Ahu Huri a Urenga,Ceremonial,Wood charcoal,5,1500-2000,"Mulloy, 1973",840 ± 90,3c,Martinsson-Wallin and Crockford 2002:250,840,90,
CRNS 1111a,Hanga te Pahu,Residential,Carbonized nutshell,5,0-500,"Orliac, 1988",640 ± 90,1b,Orliac 2003:189; Delhon and Orliac 2010:98,640,90,
CRNS 1111b,Hanga te Pahu,Residential,Carbonized nutshell,5,0-500,"Orliac, 1988",465 ± 85,1b,Orliac 2003:189; Delhon and Orliac 2010:98,465,85,
Beta-155732,Ahu o Tuki,Ceremonial,Carbonized nutshell,5,0-500,"Orliac and Orliac, 2001",610  ± 60,1c,Huyge and Cauwe 2005:8,610,60,
