Context,Depth,Taxa_ID,Common_Name,Lab_No,Age,CRA,SD,δ13C,Notes
156-30-B/C,328–395,Ipomoea batatas,Kumara,Beta-447618,350±30,350,30,−21.2,charred tuber
156-30-B/C,328–395,indeterminate hardwood,,Beta-410767,390±30,390,30,−25.2,wood charcoal; twig 5 mm diameter with pith
156-30-B/C,328–395,indeterminate hardwood,,Beta-410768,280±30,280,30,−26.5,"wood charcoal; twig 3mm dia. With thin bark, hollow"
156-06-D/E/F,280–330,Broussonetia papyrifera paper,paper mulberry,Beta-410634,380±30,380,30,−25.7,wood charcoal
156-05-G,325,indeterminate hardwood,,Beta-410769,220±30,220,30,−25.6,"wood charcoal; twig 4mm dia. With thin bark, hollow"
156-05-B/C,334–380,indeterminate hardwood,,Beta-410770,390±30,390,30,−26.0,wood charcoal; twig 8mm dia. Hollow
156-02-D/E/F,250–322,Broussonetia papyrifera paper,paper mulberry,Beta-410635,400±30,400,30,−25.7,wood charcoal
156-05-F/G,325–371,indeterminate hardwood,,Beta-410771,370±30,370,30,−28.1,"woodwood charcoal; hollow twig, 5mm dia."
156-04-D,300–310,Broussonetia papyrifera paper,paper mulberry,Beta-410636,370±30,370,30,−26.1,wood charcoal
156-03-C2,363–420,Broussonetia papyrifera paper,paper mulberry,Beta-410637,360±30,360,30,−25.9,wood charcoal
156–01,330–412,Broussonetia papyrifera paper,paper mulberry,Beta-410638,380±30,380,30,−26.9,wood charcoal
156-30Col-B2,397,Broussonetia papyrifera,paper mulberry,Beta-412398,360±30,360,30,−26.6,wood charcoal; juvenile wood
156-30Col-B1,364–380,Broussonetia papyrifera,paper mulberry,Beta-412399,240±30,240,30,−25.5,wood charcoal
222–00,0–50,indeterminate hardwood,,Beta-410772,100±30,100,30,−27.8,"wood charcoal; curved portion of twig ~8mm dia., thin bark, radial fissures"
156-09-A,434–496,indeterminate hardwood,,Beta-410773,340±30,340,30,−26.0,"wood charcoal; curved portion of twig ~6mm dia., thin bark"
156-08-A,420,cf. Broussonetia papyrifera,paper mulberry,Beta-410774,90±30,90,30,−26.6,wood charcoal
156-30Col-C,325–341,Broussonetia,paper mulberry,Beta-412400,260±30,260,30,−25.1,wood charcoal; portion of ~1 cm dia. Twig with pith
156-30Col-D,280–300,Broussonetia,paper mulberry,Beta-412401,260±30,260,30,−25.6,wood charcoal; 7mm dia. Twig with pith
156-30Col-F,250–280,Broussonetia,paper mulberry,Beta-412402,150±30,150,30,−24.2,wood charcoal
156-30Col-G,212–230,Broussonetia,paper mulberry,Beta-412403,50±30,50,30,−26.2,wood charcoal; 5mm dia. Twig with pith
